MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB4030048,1C,30,3.7V,4.2V,450,48,11.5±1.0,9.2±1.8,49.5±0.5,30.5±0.5,3.8±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA242124,10A,20,3.7V,4.2V,5500,80,117.0±2.5,1.3±0.3,125.5±0.5,42.0±0.5,9.9±0.3,16±1,LCO,10.0±1.0,10,0.2,5.4±0.4,
SLPB8585187,10A,10,3.7V,4.2V,15000,160,293.5±5.0,0.6±0.2,186.5±0.5,85.0±0.5,8.0±0.3,30±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPBA447115,10A,8,3.7V,4.2V,6300,120,118.0±2.5,1.5±0.3,115.0±0.5,47.0±0.5,9.9±0.3,23±1,LCO,10.0±1.0,15,0.2,5.4±0.4,
SLPB9664159,10A,15,3.7V,4.2V,10000,160,202.0±3.0,1.6±0.4,158.5±0.5,64.5±0.5,9.2±0.3,29±1,LCO,30.0±1.0,20,0.2,8.3±0.2,
SLPBA743126,10A,15,3.7V,4.2V,6350,120,125.5±2.5,1.3±0.3,127.5±0.5,42.7±0.5,10.4±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5042080,2C,20,3.7V,4.2V,1600,64,35.5±1.5,3.6±0.9,80.5±0.5,42.0±0.5,4.8±0.2,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB7442058,2C,15,3.7V,4.2V,1850,64,37.5±1.5,3.6±0.7,57.5±0.5,42.0±0.5,7.1±0.3,16±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB7142058,2C,20,3.7V,4.2V,1650,64,35.5±1.5,3.2±0.8,57.5±0.5,42.0±0.5,6.8±0.3,16±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB7542080,2C,10,3.7V,4.2V,2700,64,54.0±1.5,2.8±0.6,81.0±0.5,42.0±0.5,7.2±0.3,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB5542080,2C,20,3.7V,4.2V,1800,64,39.0±1.5,3.2±0.8,80.5±0.5,42.0±0.5,5.3±0.2,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPBA664079,10A,15,3.7V,4.2V,5700,80,113.0±2.5,1.4±0.3,80.5±0.5,64.0±0.5,10.2±0.3,20±1.5,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6943058,2C,20,3.7V,4.2V,1500,64,33.0±1.5,3.1±0.6,60.0±0.5,43.0±0.5,6.3±0.2,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6949135,2C,20,3.7V,4.2V,4500,96,96.5±2.5,1.4±0.3,136.0±0.5,49.0±0.5,6.6±0.2,25±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9059156,10A,30,3.7V,4.2V,8000,160,173.0±3.0,0.8±0.2,156.5±0.5,59.0±0.5,8.3±0.3,29±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPB6033051,1C,20,3.7V,4.2V,850,48,18.5±1.5,6.1±1.2,53.0±0.5,33.5±0.5,5.4±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7345150,2C,20,3.7V,4.2V,4500,96,96.5±2.0,1.4±0.3,150.5±0.5,45.0±0.5,6.5±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8044175,10A,15,3.7V,4.2V,5900,96,125.0±2.5,1.1±0.2,175.0±0.5,44.0±0.5,7.2±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5634076HV,2C,8,3.8V,4.35V,1650,64,29.5±1.5,6.2±1.2,77.5±0.5,34.5±0.5,5.4±0.2,17±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPBA942126,10A,10,3.7V,4.2V,6550,96,126.5±3.0,1.5±0.3,127.5±0.5,42.0±0.5,10.5±0.3,21±1,LCO,32.0±1.0,12,0.2,5.0±0.2,
SLPB8536128,2C,20,3.7V,4.2V,3800,64,82.0±2.0,1.8±0.4,128.0±0.5,36.0±0.5,8.1±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8634096,1C,5,3.7V,4.2V,3400,48,59.5±2.0,3.5±0.7,97.0±0.5,34.0±0.5,8.0±0.3,17.5±1.5,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7830082,2C,20,3.7V,4.2V,1650,64,36.5±1.5,3.1±0.6,83.0±0.5,30.0±0.5,7.1±0.3,15.0±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9436128,2C,20,3.7V,4.2V,4000,80,86.5±2.0,1.5±0.3,128.5±0.5,36.0±0.5,8.5±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5542124,2C,20,3.7V,4.2V,2800,80,61.5±2.0,2.1±0.4,125.0±0.5,41.8±0.5,5.3±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7242126,2C,30,3.7V,4.2V,3700,120,82.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.9±0.3,21±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB9864159,10A,15,3.7V,4.2V,10000,160,198.0±3.0,1.1±0.2,158.5±0.5,64.5±0.5,8.9±0.3,29±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8642126,2C,30,3.7V,4.2V,4500,120,97.5±2.5,1.3±0.3,127.0±0.5,42.0±0.5,8.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7034082,2C,20,3.7V,4.2V,1800,64,38.5±1.5,3.1±0.6,83.0±0.5,34.0±0.5,6.5±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9170175,10A,10,3.7V,4.2V,12000,144,236.0±3.0,1.1±0.2,174.0±1.0,69.5±0.5,8.8±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB8642124,2C,20,3.7V,4.2V,4400,80,94.0±2.5,1.4±0.3,125.0±0.5,42.0±0.5,8.2±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7034106,2C,20,3.7V,4.2V,2200,64,49.0±1.5,2.4±0.5,106.5±0.5,34.0±0.5,6.5±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7030048,1C,20,3.7V,4.2V,800,48,18.0±1.5,6.2±1.2,50.0±0.5,30.0±0.5,6.4±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4430048,1C,15,3.7V,4.2V,480,48,10.5±1.0,11.9±1.2,49.5±0.5,30.0±0.5,3.9±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9890092,10A,15,3.7V,4.2V,8000,144,160.5±3.0,1.3±0.3,91.5±0.5,90.0±0.5,9.4±0.3,35±1,LCO,30.0±1.0,18,0.2,8.3±0.2,
SLPB6642126,2C,25,3.7V,4.2V,3550,96,77.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.3±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7345135HV,1C,5,3.8V,4.35V,5800,96,97.5±2.0,2.4±0.5,135.0±0.5,45.0±0.5,7.0±0.3,20±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPBA620072HV,1C,3,3.8V,4.35V,1800,32,30.0±2.0,8±1.6,73.0±0.5,20.0±0.5,10.3±0.3,9.5±1.0,LCO+NCM,10.0±1.0,4,0.2,4.0±0.4,
SLPB6042126,2C,10,3.7V,4.2V,3500,64,69.0±2.0,2.4±0.5,127.0±0.5,42.0±0.5,5.8±0.2,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA875175HV,10A,10,3.8V,4.35V,17500,200,313.0±5.0,1.3±0.2,174.0±1.0,75.0±0.5,10.5±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB5234096,2C,15,3.7V,4.2V,1500,48,32.0±1.5,4.1±0.8,96.5±0.5,34.0±0.5,4.8±0.2,15±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBB042126,10A,10,3.7V,4.2V,6550,96,126.5±3.0,1.3±0.3,127.5±0.5,42.0±0.5,10.5±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA775175HV,10A,10,3.8V,4.35V,17500,200,310.0±5.0,0.7±0.2,174.0±1.0,75.0±0.5,10.5±0.3,38±1,LCO+NCM,30.0±1.0,25,0.2,8.6±0.2,
SLPBA045135,10A,8,3.7V,4.2V,7000,96,132.5±2.5,1.6±0.3,135.5±0.5,45.0±0.5,9.5±0.3,23±1,LCO,30.0±1.0,12,0.2,5.0±0.2,
SLPB5534100,2C,20,3.7V,4.2V,1750,64,39.5±1.5,3.1±0.6,100.5±0.5,34.5±0.5,5.3±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6219035,1C,20,3.7V,4.2V,300,32,7.5±1.0,15.5±1.6,36.0±0.5,19.0±0.5,6.0±0.2,8.5±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB8870175,10A,10,3.7V,4.2V,12000,144,224.0±3.0,1.0±0.3,173.5±0.5,69.5±0.5,8.5±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB8845150,10A,30,3.7V,4.2V,5600,120,123.5±3.0,1.1±0.2,150.5±0.5,45.0±0.5,8.2±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7634106,2C,20,3.7V,4.2V,2400,64,53.0±1.5,2.4±0.5,106.0±0.5,34.0±0.5,7.0±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6835062,1C,15,3.7V,4.2V,1400,48,28.5±1.5,4.5±0.9,63.0±0.5,34.5±0.5,6.5±0.3,19±1,LCO,15.0±1.0,6,0.2,5.0±0.2,
SLPB5938115,2C,30,3.7V,4.2V,2400,96,54.5±1.5,2.2±0.4,116.0±0.5,38.5±0.5,5.7±0.2,18±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8265135,1C,1,3.7V,4.2V,9100,40,157.0±5.0,2.9±0.6,136.0±0.5,64.5±0.5,7.7±0.2,35±2,LCO,10.0±1.0,10,0.1,5.0±0.2,
SLPB5934076,1C,20,3.7V,4.2V,1400,48,31.5±1.5,3.8±0.8,77.5±0.5,34.5±0.5,5.8±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
LFP9052090,1C,1,3.2V,3.65V,3900,32,82.0±2.0,4.6±0.9,91.0±0.5,51.5±0.5,8.8±0.2,30.5±1,LiFePO4,10.0±1.0,8,0.1,5.0±0.2,
SLPBA942126HV,10A,15,3.8V,4.35V,6500,120,123.0±3.0,1.3±0.3,127.5±0.5,42.0±0.5,10.4±0.3,21.0±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB7324064,1C,20,3.7V,4.2V,1000,40,22.0±1.5,5.1±1,66.0±0.5,24.0±0.5,6.8±0.3,12±1,LCO,10.0±1.0,5,0.2,5.0±0.2,
SLPB7934122,2C,20,3.7V,4.2V,3000,80,65.0±2.0,1.9±0.4,122.5±0.5,34.0±0.5,7.3±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7834096,2C,15,3.7V,4.2V,2400,64,50.5±1.5,2.8±0.6,97.0±0.5,34.0±0.5,7.2±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7430085,2C,20,3.7V,4.2V,1600,64,36.0±1.5,3.4±0.7,86.0±0.5,30.0±0.5,6.6±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5836128,2C,20,3.7V,4.2V,2200,64,49.0±1.5,2.7±0.5,128.0±0.5,36.0±0.5,5.0±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6334096,2C,25,3.7V,4.2V,1800,80,41.5±1.5,2.8±0.6,97.0±0.5,34.0±0.5,6.0±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5270096,1C,5,3.7V,4.2V,4000,64,74.0±3.0,3.1±0.6,97.0±0.5,70.0±0.5,4.9±0.3,35±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6642124,2C,30,3.7V,4.2V,3400,80,75.0±2.0,1.6±0.3,124.5±0.5,42.0±0.5,6.4±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5242124,2C,20,3.7V,4.2V,2600,80,57.0±1.5,2.4±0.5,124.5±0.5,42.0±0.5,5.0±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP7365132,1C,1,3.2V,3.65V,5000,40,111.0±3.0,3.4±2.0,130.5±0.5,63.0±0.5,6.7±0.3,30±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
SLPB6942126,1C,5,3.7V,4.2V,4500,80,80.0±2.0,2.8±0.6,127.0±0.5,42.0±0.5,6.7±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8434106,2C,20,3.7V,4.2V,2700,64,58.5±1.5,2.2±0.4,106.0±0.5,34.0±0.5,7.6±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8430082,2C,20,3.7V,4.2V,1800,64,39.5±1.5,2.9±0.6,83.5±0.5,30.0±0.5,7.6±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5946143,2C,20,3.7V,4.2V,3800,80,82.5±2.0,1.7±0.3,144.0±0.5,46.0±0.5,5.7±0.2,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8030082,2C,30,3.7V,4.2V,1800,64,40.0±1.5,2.8±0.6,83.0±0.5,30.0±0.5,7.7±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6536102,1C,5,3.7V,4.2V,2750,64,49.5±1.5,4.6±0.9,102.0±0.5,35.5±0.5,6.3±0.2,18±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB8045150,10A,25,3.7V,4.2V,5500,120,118.0±3.0,1.1±0.2,150.5±0.5,45.0±0.5,7.5±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7042126,2C,15,3.7V,4.2V,3700,80,76.0±2.0,1.9±0.4,127.0±0.5,42.0±0.5,6.5±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7436128,2C,20,3.7V,4.2V,3000,64,65.5±2.0,2.1±0.4,128.0±0.5,36.0±0.5,6.6±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6530060,1C,15,3.7V,4.2V,1000,48,21.0±1.5,6.1±1.2,62.0±0.5,30.0±0.5,5.9±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7034106,2C,30,3.7V,4.2V,2200,80,49.5±1.5,2.4±0.5,106.0±0.5,34.0±0.5,6.5±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB4834106,1C,20,3.7V,4.2V,1450,48,32.5±1.5,3.8±0.8,105.5±0.5,34.0±0.5,4.5±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6430060,1C,25,3.7V,4.2V,1000,48,23.0±1.0,4.7±0.9,61.5±0.5,30.0±0.5,6.0±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6030085,1C,20,3.7V,4.2V,1250,48,28.5±1.5,4.1±0.8,86.0±0.5,30.0±0.5,5.4±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6835062,1C,20,3.7V,4.2V,1300,64,28.5±1.5,3.9±0.8,63.0±0.5,35.0±0.5,6.6±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8285155,10A,10,3.7V,4.2V,12000,144,231.0±3.0,1.1±0.2,154.5±0.5,84.5±0.5,7.9±0.3,38±1,LCO,10.0±1.0,18,0.2,8.6±0.2,
SLPB7385155,10A,15,3.7V,4.2V,10000,160,202.0±3.0,1.1±0.2,154.5±0.5,84.5±0.5,7.0±0.3,38±1,LCO,10.0±1.0,20,0.2,8.6±0.2,
SLPB7658150,10A,15,3.7V,4.2V,7000,120,141.5±2.5,1.4±0.3,151.0±0.5,58.0±0.5,7.1±0.3,24±1,LCO,30.0±1.0,15,0.2,5.0±0.2,
SLPB5960078,2C,30,3.7V,4.2V,2500,120,57.0±1.5,2.2±0.4,78.5±0.5,60.0±0.5,5.7±0.2,23±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB6642126,2C,30,3.7V,4.2V,3300,120,74.5±2.0,1.8±0.4,127.0±0.5,42.0±0.5,6.4±0.2,21±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB8535062,2C,30,3.7V,4.2V,1600,80,37.0±1.5,2.8±0.6,63.0±0.5,35.0±0.5,8.0±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9145180,10A,20,3.7V,4.2V,7050,120,149.0±3.0,1.1±0.2,180.5±0.5,45.0±0.5,8.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7685186,10A,15,3.7V,4.2V,12500,160,255.0±5.0,0.9±0.3,186.5±0.5,85.0±0.5,7.1±0.3,30±1,LCO,20.0±1.0,20,0.2,8.3±0.2,
SLPB7035062,2C,8,3.7V,4.2V,1550,48,29.0±1.5,5.4±1.1,63.0±0.5,35.0±0.5,6.6±0.2,19±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6849135,2C,30,3.7V,4.2V,4400,120,98.0±2.5,1.3±0.3,136.0±0.5,49.0±0.5,6.6±0.2,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5934082,2C,20,3.7V,4.2V,1500,64,33.0±1.5,3.5±0.7,83.0±0.5,34.0±0.5,5.7±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6734122,2C,10,3.7V,4.2V,2800,64,56.5±1.5,2.8±0.6,122.0±0.5,34.0±0.5,6.3±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7845135,2C,30,3.7V,4.2V,4400,120,97.0±2.5,1.3±0.3,135.0±0.5,45.0±0.5,7.2±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6419096,1C,15,3.7V,4.2V,1100,32,23.0±1.5,6.6±1.3,97.0±0.5,19±0.5,6.2±0.2,9±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB8432115,2C,10,3.7V,4.2V,3300,48,65.5±2.0,2.6±0.5,116.0±0.5,32.0±0.5,8.0±0.3,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6034082,2C,10,3.7V,4.2V,1550,48,32.0±1.5,4.4±0.9,84.0±0.5,34.5±0.5,5.4±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5849073,2C,15,3.7V,4.2V,2000,64,42.0±1.5,3.1±0.6,73.5±0.5,49.0±0.5,5.6±0.2,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7570175,10A,10,3.7V,4.2V,10000,144,197.0±3.0,1.2±0.2,174.0±1.0,70.0±0.5,7.2±0.3,32±1,LCO,45.0±1.0,18,0.2,8.6±0.2,
SLPB8164155,10A,20,3.7V,4.2V,8000,160,172.0±3.0,1±0.3,155.0±0.5,64.0±0.5,7.7±0.3,29±1,LCO,20.0±1.0,20,0.2,5.0±0.2,
SLPB6545150,2C,20,3.7V,4.2V,4000,96,88.0±2.5,1.6±0.3,150.0±0.5,45.0±0.5,5.8±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8245150,10A,20,3.7V,4.2V,5500,120,118.0±2.5,1.2±0.2,150.0±0.5,45.0±0.5,7.8±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8245135,10A,20,3.7V,4.2V,5100,96,107.5±2.0,1.3±0.3,135.0±0.5,45.0±0.5,7.7±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9445135,10A,15,3.7V,4.2V,6100,120,124.5±3.0,1.6±0.3,135.5±0.5,45.0±0.5,9.1±0.3,20±1,LCO,30.0±1.0,15,0.2,5.0±0.2,
SLPB5235062,1C,15,3.7V,4.2V,1000,48,21.5±1.5,6.1±1.2,63.0±0.5,35.0±0.5,5.0±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8035062,2C,20,3.7V,4.2V,1500,64,33.5±1.5,3.5±0.7,63.0±0.5,35.0±0.5,7.5±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7834096,2C,25,3.7V,4.2V,2400,80,54.0±1.5,2.3±0.5,97.0±0.5,33.5±0.5,7.5±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7130085,2C,30,3.7V,4.2V,1600,64,36.5±1.5,3.1±0.6,86.0±0.5,30.0±0.5,6.8±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6442126,2C,15,3.7V,4.2V,3300,80,68.5±2.0,2.2±0.4,127.0±0.5,42.0±0.5,5.9±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6544100,2C,20,3.7V,4.2V,2700,80,59.0±2.0,2.1±0.4,101.0±0.5,44.0±0.5,6.2±0.3,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6134118,2C,10,3.7V,4.2V,2500,64,50.0±1.5,2.9±0.6,118.0±0.5,33.5±0.5,5.8±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6020122,1C,20,3.7V,4.2V,1150,32,25.5±1.5,5.4±1.1,117.0±0.5,20.0±0.5,5.5±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB8943158,1C,5,3.7V,4.2V,7600,120,136.0±3.0,1.9±0.4,157.5±0.5,42.5±0.5,8.7±0.3,21±1,LCO,30.0±1.0,15,0.2,5.4±0.4,
SLPB7519035,1C,15,3.7V,4.2V,380,16,9.0±1.0,16.4±1.6,36.0±0.5,19.0±0.5,7.2±0.3,8.5±0.5,LCO,10.0±1.0,4,0.1,4.0±0.2,
SLPB7542121,2C,30,3.7V,4.2V,3700,120,82.0±2.0,1.6±0.3,122.0±0.5,42.0±0.5,7.2±0.3,21±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB6570135,10A,20,3.7V,4.2V,6000,144,131.0±3.0,1.2±0.2,136.0±0.5,69.5±0.5,6.3±0.2,35±1,LCO,20.0±1.0,18,0.2,5.0±0.2,
SLPB6055082,2C,30,3.7V,4.2V,2500,120,57.0±1.5,1.9±0.4,83.5±0.5,55.5±0.5,5.8±0.2,32±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6845135,2C,8,3.7V,4.2V,4800,96,92.0±2.0,2.2±0.4,135.0±0.5,45.0±0.5,6.5±0.3,23±1,LCO,20.0±1.0,12,0.2,5.0±0.2,
SLPB6228045,1C,25,3.7V,4.2V,650,48,15.5±1.5,6.8±1.4,46.5±0.5,28.0±0.5,6.0±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8463124,10A,15,3.7V,4.2V,7500,160,149.5±3.0,1.2±0.2,126.0±0.5,63.0±0.5,8.2±0.3,30±1,LCO,32.0±1.0,20,0.2,5.0±0.2,
SLPB8663124,10A,15,3.7V,4.2V,7500,160,149.5±3.0,1.1±0.2,126.0±0.5,63.0±0.5,8.3±0.3,30±1,LCO,20.0±1.0,20,0.2,5.0±0.2,
SLPB8020030,1C,15,3.7V,4.2V,350,12,8.0±0.5,20.9±2.1,31.0±0.5,20.0±0.5,7.5±0.3,7.5±1.0,LCO,17.0±1.0,3,0.1,4.0±0.2,
SLPB5534096,2C,30,3.7V,4.2V,1650,64,37.0±1.5,3.1±0.6,96.5±0.5,34.0±0.5,5.3±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7143128,2C,20,3.7V,4.2V,4000,96,84.5±2.5,1.6±0.3,128.0±0.5,43.0±0.5,6.8±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6520030,1C,15,3.7V,4.2V,270,32,6.5±1.0,20.5±2.1,31.0±0.5,20.0±0.5,6.3±0.2,8.0-8.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7025030,1C,5,3.7V,4.2V,400,32,8.7±1.0,23.5±2.4,30.5±0.5,25.0±0.5,6.7±0.3,12±1,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPBA190092,10A,15,3.7V,4.2V,8000,144,162.5±3.0,1.1±0.3,91.5±0.5,90.0±0.5,9.5±0.3,35±1,LCO,10.0±1.0,18,0.2,8.6±0.2,
SLPB6649140,10A,10,3.7V,4.2V,5000,80,100.0±3.0,1.9±0.4,141.0±0.5,49.0±0.5,6.4±0.2,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6938110,2C,20,3.7V,4.2V,2750,80,60.0±2.0,2.1±0.4,111.0±0.5,38.0±0.5,6.6±0.3,19±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5520122,1C,15,3.7V,4.2V,1200,32,25.0±1.5,6±1.2,117.0±0.5,20.0±0.5,5.2±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB6935062,1C,25,3.7V,4.2V,1300,80,30.0±1.5,3.6±0.7,63.0±0.5,35.0±0.5,6.4±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA675175,10A,10,3.7V,4.2V,15000,200,295.0±5.0,0.9±0.3,174.0±1.0,75.0±0.5,10.0±0.3,38±1,LCO,10.0±1.0,25,0.2,8.6±0.2,
SLPB6134060,1C,15,3.7V,4.2V,1200,48,25.5±1.5,5.3±1.1,61.5±0.5,34.5±0.5,5.9±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6626089,2C,15,3.7V,4.2V,1500,48,30.5±1.5,4.3±0.9,90.0±0.5,26.0±0.5,6.3±0.2,13.5±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6034096,2C,20,3.7V,4.2V,1600,64,35.5±1.5,3.2±0.6,97.0±0.5,34.0±0.5,5.3±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7666089HV,1C,5,3.8V,4.35V,5600,64,93.0±2.5,2.8±0.6,89.0±0.5,65.5±0.5,7.3±0.3,43±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB6020122,1C,15,3.7V,4.2V,1350,32,28.0±1.5,5.4±1.1,116.0±0.5,20.5±0.5,5.8±0.2,10±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5516075,1C,10,3.7V,4.2V,630,32,13.0±1.5,11.8±1.2,75.0±0.5,16.5±0.5,5.3±0.2,7.0-7.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
